topic,year,count
Neuroscience,2000,369
Neuroscience,2001,436
Neuroscience,2002,454
Neuroscience,2003,518
Neuroscience,2004,559
Neuroscience,2005,543
Neuroscience,2006,625
Neuroscience,2007,687
Neuroscience,2008,762
Neuroscience,2009,828
Neuroscience,2010,925
Neuroscience,2011,1047
Neuroscience,2012,1088
Neuroscience,2013,1202
Neuroscience,2014,1212
Neuroscience,2015,1293
Neuroscience,2016,1354
Neuroscience,2017,1385
Neuroscience,2018,1505
Neuroscience,2019,1659
Neuroscience,2020,1803
Neuroscience,2021,1928
Neuroscience,2022,1790
Neuroscience,2023,1781
Neuroscience,2024,1991
Neuroscience,2025,2206
Cancer,2000,91
Cancer,2001,117
Cancer,2002,144
Cancer,2003,175
Cancer,2004,149
Cancer,2005,140
Cancer,2006,141
Cancer,2007,156
Cancer,2008,229
Cancer,2009,243
Cancer,2010,268
Cancer,2011,343
Cancer,2012,332
Cancer,2013,405
Cancer,2014,503
Cancer,2015,504
Cancer,2016,631
Cancer,2017,671
Cancer,2018,702
Cancer,2019,798
Cancer,2020,851
Cancer,2021,910
Cancer,2022,847
Cancer,2023,790
Cancer,2024,840
Cancer,2025,892
Toxicology,2000,17
Toxicology,2001,29
Toxicology,2002,40
Toxicology,2003,53
Toxicology,2004,72
Toxicology,2005,86
Toxicology,2006,120
Toxicology,2007,139
Toxicology,2008,185
Toxicology,2009,191
Toxicology,2010,249
Toxicology,2011,383
Toxicology,2012,418
Toxicology,2013,477
Toxicology,2014,543
Toxicology,2015,621
Toxicology,2016,787
Toxicology,2017,829
Toxicology,2018,981
Toxicology,2019,1118
Toxicology,2020,1308
Toxicology,2021,1396
Toxicology,2022,1491
Toxicology,2023,1489
Toxicology,2024,1722
Toxicology,2025,1820
Genetics,2000,533
Genetics,2001,604
Genetics,2002,726
Genetics,2003,806
Genetics,2004,911
Genetics,2005,883
Genetics,2006,990
Genetics,2007,1112
Genetics,2008,1231
Genetics,2009,1297
Genetics,2010,1422
Genetics,2011,1723
Genetics,2012,1686
Genetics,2013,1961
Genetics,2014,1950
Genetics,2015,1910
Genetics,2016,2204
Genetics,2017,2084
Genetics,2018,2167
Genetics,2019,2323
Genetics,2020,2366
Genetics,2021,2470
Genetics,2022,2181
Genetics,2023,2053
Genetics,2024,2303
Genetics,2025,2457
Development,2000,389
Development,2001,470
Development,2002,548
Development,2003,605
Development,2004,654
Development,2005,616
Development,2006,743
Development,2007,812
Development,2008,958
Development,2009,1042
Development,2010,1145
Development,2011,1401
Development,2012,1421
Development,2013,1608
Development,2014,1577
Development,2015,1651
Development,2016,1815
Development,2017,1864
Development,2018,2000
Development,2019,2151
Development,2020,2312
Development,2021,2434
Development,2022,2253
Development,2023,2245
Development,2024,2543
Development,2025,2865
